,Dissections
Cluster10,"Human GPi: 17.36%,  Human SN: 9.27%,  Human GPe: 7.93%,  Human SN-RN: 7.10%,  Human PAG: 3.17%,  Human CbDN: 3.07%,  Human SpC: 2.49%,  Human CEN: 2.42%,  Human Pul: 2.38%,  Human CBV: 2.27%,  Human PnRF: 2.27%,  Human MTG: 2.17%,  Human STG: 1.98%,  Human MoRF-MoEN: 1.71%,  Human IO: 1.60%,  Human CA1: 1.52%,  Human PN: 1.50%,  Human MN: 1.14%,  Human Cla: 1.10%,  Human IC: 1.07%,  Human PnAN: 1.00%,  Human CA4C-DGC: 0.99%,  Human LP-VPL: 0.97%,  Human A35r: 0.90%,  Human MoAN: 0.86%,  Human STH: 0.86%,  Human Sub: 0.84%,  Human PB: 0.83%,  Human PnEN: 0.76%,  Human TH-TL: 0.69%,  Human DGU-CA4Upy: 0.68%,  Human VPL: 0.66%,  Human CM-Pf: 0.66%,  Human SEP: 0.60%,  Human PAG-DR: 0.59%,  Human LP: 0.53%,  Human LG: 0.51%,  Human HTHma-HTHtub: 0.50%,  Human SC: 0.48%,  Human MD-Re: 0.48%,  Human BNST: 0.47%,  Human VLN: 0.45%,  Human MD: 0.44%,  Human DGR-CA4Rpy: 0.41%,  Human CM: 0.37%,  Human CA1U-CA2U-CA3U: 0.34%,  Human DTg: 0.33%,  Human ACC: 0.33%,  Human Pir: 0.32%,  Human ANC: 0.31%,  Human CMN: 0.30%,  Human BM: 0.29%,  Human SI: 0.29%,  Human MG: 0.29%,  Human A1C: 0.28%,  Human PTR: 0.28%,  Human CBL: 0.26%,  Human CA3R: 0.26%,  Human Pu: 0.24%,  Human HTHpo-HTHso: 0.22%,  Human VA: 0.22%,  Human CA1R-CA2R-CA3R: 0.22%,  Human HTHpo: 0.22%,  Human ITG: 0.21%,  Human A43: 0.20%,  Human M1C: 0.20%,  Human HTHso-HTHtub: 0.20%,  Human TF: 0.20%,  Human S1C: 0.18%,  Human V1C: 0.17%,  Human Ig: 0.17%,  Human AON: 0.17%,  Human A40: 0.17%,  Human A25: 0.17%,  Human Idg: 0.17%,  Human V2: 0.16%,  Human MEC: 0.15%,  Human RN: 0.15%,  Human BL: 0.14%,  Human La: 0.13%,  Human LEC: 0.13%,  Human A46: 0.13%,  Human Pro: 0.13%,  Human A44-A45: 0.12%,  Human ETH: 0.12%,  Human CA1C-CA3C: 0.11%,  Human A35-A36: 0.10%,  Human A32: 0.10%,  Human FI: 0.10%,  Human A5-A7: 0.09%,  Human A13: 0.09%,  Human CaB: 0.08%,  Human NAC: 0.08%,  Human A19: 0.08%,  Human A38: 0.07%,  Human HTHma: 0.07%,  Human A29-A30: 0.07%,  Human CA1-2R: 0.06%,  Human CoA: 0.05%,  Human A23: 0.05%,  Human HTHtub: 0.05%,  Human CA2U-CA3U: 0.04%,  Human MoSR: 0.04%,  Human DGR-CA4: 0.03%,  Human A14: 0.02%"
Cluster11,"Human DGR-CA4Rpy: 6.26%,  Human MTG: 5.72%,  Human DGU-CA4Upy: 5.72%,  Human CEN: 4.82%,  Human CA1: 3.18%,  Human Pul: 2.53%,  Human CA4C-DGC: 2.05%,  Human VLN: 1.94%,  Human ACC: 1.83%,  Human CA2U-CA3U: 1.79%,  Human STG: 1.76%,  Human Pir: 1.76%,  Human A35r: 1.63%,  Human CBV: 1.58%,  Human A38: 1.53%,  Human TH-TL: 1.53%,  Human BM: 1.46%,  Human Sub: 1.42%,  Human Idg: 1.39%,  Human Cla: 1.35%,  Human A43: 1.31%,  Human CA1R-CA2R-CA3R: 1.29%,  Human MEC: 1.26%,  Human FI: 1.23%,  Human SN-RN: 1.17%,  Human LEC: 1.16%,  Human A25: 1.14%,  Human HTHso: 1.14%,  Human CA1C-CA3C: 1.13%,  Human ITG: 1.11%,  Human Ig: 1.08%,  Human CMN: 1.07%,  Human SI: 1.05%,  Human GPe: 1.02%,  Human SN: 0.94%,  Human MD-Re: 0.92%,  Human Pro: 0.88%,  Human CM-Pf: 0.88%,  Human LP-VPL: 0.87%,  Human A35-A36: 0.87%,  Human A40: 0.86%,  Human ANC: 0.83%,  Human A19: 0.83%,  Human La: 0.82%,  Human MD: 0.81%,  Human A1C: 0.77%,  Human A5-A7: 0.75%,  Human PAG: 0.74%,  Human PnRF: 0.74%,  Human M1C: 0.74%,  Human S1C: 0.72%,  Human BL: 0.71%,  Human A44-A45: 0.70%,  Human LP: 0.70%,  Human V2: 0.68%,  Human AON: 0.66%,  Human GPi: 0.66%,  Human TF: 0.64%,  Human A46: 0.63%,  Human IC: 0.62%,  Human A32: 0.60%,  Human HTHtub: 0.58%,  Human CA1U-CA2U-CA3U: 0.57%,  Human V1C: 0.56%,  Human SEP: 0.55%,  Human Pu: 0.54%,  Human BNST: 0.52%,  Human A13: 0.48%,  Human CM: 0.47%,  Human CoA: 0.46%,  Human CaB: 0.41%,  Human CA1-2R: 0.38%,  Human A23: 0.37%,  Human HTHso-HTHtub: 0.36%,  Human MoRF-MoEN: 0.35%,  Human HTHpo: 0.35%,  Human PB: 0.34%,  Human NAC: 0.34%,  Human MN: 0.31%,  Human ETH: 0.30%,  Human HTHma-HTHtub: 0.30%,  Human PN: 0.29%,  Human LG: 0.24%,  Human DGR-CA4: 0.23%,  Human VPL: 0.22%,  Human SC: 0.18%,  Human PnEN: 0.18%,  Human CA3R: 0.17%,  Human A14: 0.17%,  Human PnAN: 0.17%,  Human MG: 0.15%,  Human HTHpo-HTHso: 0.14%,  Human VA: 0.14%,  Human PTR: 0.13%,  Human MoAN: 0.13%,  Human STH: 0.12%,  Human DTg: 0.11%,  Human IO: 0.11%,  Human CBL: 0.11%,  Human PAG-DR: 0.10%,  Human HTHma: 0.09%,  Human SpC: 0.08%,  Human A29-A30: 0.05%,  Human RN: 0.04%,  Human CbDN: 0.03%"
Cluster12,"Human GPi: 11.45%,  Human CbDN: 9.75%,  Human SEP: 9.15%,  Human GPe: 6.85%,  Human SN: 5.08%,  Human SN-RN: 4.34%,  Human MTG: 3.08%,  Human MN: 2.81%,  Human PnRF: 2.00%,  Human CBV: 1.73%,  Human MoAN: 1.64%,  Human STH: 1.53%,  Human CEN: 1.50%,  Human IO: 1.41%,  Human STG: 1.29%,  Human PB: 1.23%,  Human PnEN: 1.17%,  Human DGR-CA4Rpy: 1.11%,  Human DGU-CA4Upy: 1.11%,  Human PN: 1.08%,  Human MoRF-MoEN: 1.05%,  Human CA1: 1.02%,  Human VLN: 0.87%,  Human PAG: 0.87%,  Human LG: 0.87%,  Human LP: 0.87%,  Human Pul: 0.87%,  Human SpC: 0.87%,  Human VPL: 0.81%,  Human Ig: 0.78%,  Human PnAN: 0.75%,  Human Pu: 0.72%,  Human CBL: 0.69%,  Human TH-TL: 0.69%,  Human CA1R-CA2R-CA3R: 0.69%,  Human S1C: 0.63%,  Human A43: 0.60%,  Human IC: 0.57%,  Human CA4C-DGC: 0.54%,  Human A1C: 0.51%,  Human CM-Pf: 0.51%,  Human LEC: 0.51%,  Human Cla: 0.51%,  Human A35r: 0.51%,  Human VA: 0.48%,  Human MEC: 0.48%,  Human HTHma-HTHtub: 0.48%,  Human Idg: 0.42%,  Human Pir: 0.42%,  Human DTg: 0.42%,  Human ANC: 0.42%,  Human SI: 0.39%,  Human FI: 0.36%,  Human V2: 0.36%,  Human BNST: 0.36%,  Human Sub: 0.36%,  Human A19: 0.33%,  Human Pro: 0.33%,  Human SC: 0.33%,  Human CA1U-CA2U-CA3U: 0.33%,  Human CMN: 0.33%,  Human ACC: 0.33%,  Human BM: 0.30%,  Human CA3R: 0.30%,  Human V1C: 0.30%,  Human M1C: 0.30%,  Human PAG-DR: 0.27%,  Human BL: 0.24%,  Human A35-A36: 0.24%,  Human HTHso-HTHtub: 0.24%,  Human HTHtub: 0.21%,  Human PTR: 0.21%,  Human CaB: 0.21%,  Human MD-Re: 0.21%,  Human A5-A7: 0.18%,  Human A40: 0.18%,  Human LP-VPL: 0.18%,  Human RN: 0.18%,  Human MD: 0.18%,  Human TF: 0.15%,  Human NAC: 0.15%,  Human A38: 0.15%,  Human MG: 0.15%,  Human A46: 0.15%,  Human MoSR: 0.15%,  Human ITG: 0.15%,  Human A23: 0.15%,  Human La: 0.15%,  Human CA1-2R: 0.15%,  Human CA1C-CA3C: 0.15%,  Human DGR-CA4: 0.12%,  Human A32: 0.12%,  Human CM: 0.12%,  Human ETH: 0.09%,  Human HTHma: 0.09%,  Human A29-A30: 0.09%,  Human A25: 0.06%,  Human A13: 0.06%,  Human AON: 0.06%,  Human CA2U-CA3U: 0.06%,  Human HTHpo: 0.06%,  Human A44-A45: 0.03%,  Human CoA: 0.03%"
Cluster13,"Human SEP: 73.97%,  Human MoSR: 10.96%,  Human MoAN: 8.22%,  Human MoRF-MoEN: 4.11%,  Human MN: 1.37%,  Human DGR-CA4Rpy: 1.37%"
Cluster14,"Human A35r: 14.04%,  Human CA1: 8.69%,  Human CBV: 5.48%,  Human SpC: 5.35%,  Human CA4C-DGC: 5.21%,  Human PnEN: 4.28%,  Human Sub: 3.34%,  Human CA3R: 2.14%,  Human M1C: 2.01%,  Human Pul: 1.87%,  Human SEP: 1.87%,  Human MoAN: 1.74%,  Human LG: 1.74%,  Human PnRF: 1.74%,  Human LP: 1.60%,  Human PN: 1.60%,  Human CMN: 1.47%,  Human MoSR: 1.34%,  Human CbDN: 1.34%,  Human MTG: 1.20%,  Human BM: 1.20%,  Human DGR-CA4Rpy: 1.07%,  Human CM-Pf: 1.07%,  Human CBL: 0.94%,  Human GPe: 0.94%,  Human ANC: 0.94%,  Human IO: 0.94%,  Human HTHtub: 0.94%,  Human MoRF-MoEN: 0.94%,  Human HTHso: 0.94%,  Human PnAN: 0.94%,  Human SN-RN: 0.94%,  Human SN: 0.94%,  Human CA1R-CA2R-CA3R: 0.80%,  Human MN: 0.80%,  Human DGU-CA4Upy: 0.80%,  Human CA1C-CA3C: 0.67%,  Human VLN: 0.67%,  Human BL: 0.67%,  Human DTg: 0.67%,  Human MD-Re: 0.67%,  Human IC: 0.53%,  Human PB: 0.53%,  Human PAG: 0.53%,  Human STG: 0.53%,  Human ITG: 0.53%,  Human A43: 0.53%,  Human Pro: 0.53%,  Human STH: 0.53%,  Human Ig: 0.40%,  Human Cla: 0.40%,  Human TH-TL: 0.40%,  Human CEN: 0.40%,  Human CA1-2R: 0.40%,  Human GPi: 0.40%,  Human ETH: 0.27%,  Human DGR-CA4: 0.27%,  Human CaB: 0.27%,  Human A1C: 0.27%,  Human V2: 0.27%,  Human A23: 0.27%,  Human MD: 0.27%,  Human FI: 0.27%,  Human SI: 0.27%,  Human A25: 0.27%,  Human S1C: 0.27%,  Human Pu: 0.27%,  Human ACC: 0.27%,  Human CA2U-CA3U: 0.27%,  Human MG: 0.27%,  Human A32: 0.13%,  Human A5-A7: 0.13%,  Human A46: 0.13%,  Human CA1U-CA2U-CA3U: 0.13%,  Human A35-A36: 0.13%,  Human A40: 0.13%,  Human A19: 0.13%,  Human BNST: 0.13%,  Human VPL: 0.13%,  Human CM: 0.13%,  Human PTR: 0.13%,  Human PAG-DR: 0.13%,  Human NAC: 0.13%,  Human RN: 0.13%,  Human MEC: 0.13%,  Human LP-VPL: 0.13%,  Human LEC: 0.13%,  Human SC: 0.13%,  Human HTHpo-HTHso: 0.13%,  Human HTHma: 0.13%,  Human Pir: 0.13%"
Cluster15,"Human A35r: 8.63%,  Human CBV: 6.55%,  Human CA1: 4.84%,  Human SpC: 4.44%,  Human CA4C-DGC: 3.28%,  Human Pul: 3.20%,  Human MTG: 3.17%,  Human LP: 3.13%,  Human PnRF: 2.99%,  Human PnEN: 2.73%,  Human Sub: 2.33%,  Human LG: 2.15%,  Human PN: 2.15%,  Human GPe: 1.89%,  Human MoAN: 1.89%,  Human SN-RN: 1.68%,  Human DTg: 1.68%,  Human IO: 1.68%,  Human VLN: 1.42%,  Human PnAN: 1.31%,  Human DGR-CA4Rpy: 1.24%,  Human ANC: 1.17%,  Human CbDN: 1.17%,  Human MoRF-MoEN: 1.13%,  Human SN: 1.13%,  Human CM-Pf: 1.09%,  Human CMN: 1.06%,  Human SEP: 1.06%,  Human FI: 1.06%,  Human MoSR: 0.98%,  Human DGU-CA4Upy: 0.98%,  Human M1C: 0.95%,  Human BL: 0.91%,  Human Pir: 0.87%,  Human CA1R-CA2R-CA3R: 0.76%,  Human MN: 0.76%,  Human HTHtub: 0.73%,  Human A44-A45: 0.73%,  Human CA3R: 0.73%,  Human STG: 0.69%,  Human PAG: 0.69%,  Human CEN: 0.66%,  Human PB: 0.66%,  Human CA1C-CA3C: 0.66%,  Human VPL: 0.62%,  Human V2: 0.58%,  Human BM: 0.55%,  Human Ig: 0.55%,  Human A1C: 0.51%,  Human Cla: 0.51%,  Human GPi: 0.51%,  Human S1C: 0.51%,  Human MD: 0.51%,  Human A43: 0.47%,  Human IC: 0.47%,  Human Pu: 0.47%,  Human MD-Re: 0.47%,  Human CBL: 0.47%,  Human DGR-CA4: 0.47%,  Human ACC: 0.44%,  Human STH: 0.44%,  Human V1C: 0.40%,  Human La: 0.40%,  Human Pro: 0.40%,  Human SC: 0.40%,  Human ETH: 0.40%,  Human TH-TL: 0.36%,  Human LP-VPL: 0.33%,  Human A25: 0.29%,  Human A5-A7: 0.29%,  Human A13: 0.29%,  Human PAG-DR: 0.29%,  Human CoA: 0.29%,  Human SI: 0.29%,  Human CA1-2R: 0.22%,  Human A23: 0.22%,  Human TF: 0.22%,  Human Idg: 0.22%,  Human PTR: 0.18%,  Human RN: 0.18%,  Human A40: 0.18%,  Human CaB: 0.18%,  Human HTHma-HTHtub: 0.18%,  Human HTHma: 0.18%,  Human A35-A36: 0.15%,  Human VA: 0.15%,  Human A19: 0.15%,  Human CM: 0.15%,  Human ITG: 0.15%,  Human A46: 0.11%,  Human A38: 0.11%,  Human HTHso: 0.11%,  Human AON: 0.11%,  Human MEC: 0.11%,  Human LEC: 0.11%,  Human BNST: 0.11%,  Human CA1U-CA2U-CA3U: 0.11%,  Human CA2U-CA3U: 0.11%,  Human A29-A30: 0.07%,  Human HTHpo-HTHso: 0.07%,  Human A14: 0.07%,  Human MG: 0.07%,  Human HTHpo: 0.04%"
Cluster16,"Human A35r: 14.82%,  Human CA1: 5.64%,  Human CBV: 4.11%,  Human SpC: 4.11%,  Human IO: 3.63%,  Human SN: 3.63%,  Human SEP: 3.63%,  Human CA4C-DGC: 3.35%,  Human Sub: 3.25%,  Human SN-RN: 2.77%,  Human MN: 2.20%,  Human DGR-CA4Rpy: 2.10%,  Human MTG: 2.01%,  Human GPi: 1.82%,  Human PN: 1.63%,  Human Pul: 1.53%,  Human CMN: 1.53%,  Human CbDN: 1.53%,  Human MoAN: 1.34%,  Human M1C: 1.24%,  Human DGU-CA4Upy: 1.24%,  Human GPe: 1.24%,  Human PnRF: 1.15%,  Human PnEN: 1.05%,  Human LG: 1.05%,  Human MD: 1.05%,  Human TH-TL: 1.05%,  Human BM: 1.05%,  Human BL: 0.96%,  Human MoRF-MoEN: 0.96%,  Human ANC: 0.96%,  Human V2: 0.96%,  Human LP: 0.86%,  Human PB: 0.86%,  Human HTHso: 0.76%,  Human VA: 0.76%,  Human PnAN: 0.76%,  Human CEN: 0.67%,  Human Pir: 0.67%,  Human HTHtub: 0.57%,  Human CA1-2R: 0.57%,  Human CA3R: 0.57%,  Human CBL: 0.57%,  Human CM-Pf: 0.57%,  Human SI: 0.57%,  Human DTg: 0.57%,  Human Pu: 0.57%,  Human VLN: 0.57%,  Human MoSR: 0.57%,  Human PAG: 0.57%,  Human FI: 0.48%,  Human HTHma-HTHtub: 0.38%,  Human PAG-DR: 0.38%,  Human SC: 0.38%,  Human HTHma: 0.38%,  Human RN: 0.38%,  Human BNST: 0.38%,  Human A44-A45: 0.38%,  Human A43: 0.38%,  Human Idg: 0.29%,  Human CA1C-CA3C: 0.29%,  Human CA1R-CA2R-CA3R: 0.29%,  Human MD-Re: 0.29%,  Human IC: 0.29%,  Human ITG: 0.29%,  Human A1C: 0.29%,  Human STG: 0.29%,  Human A35-A36: 0.19%,  Human CA1U-CA2U-CA3U: 0.19%,  Human MEC: 0.19%,  Human V1C: 0.19%,  Human Pro: 0.19%,  Human ACC: 0.19%,  Human CoA: 0.19%,  Human DGR-CA4: 0.19%,  Human ETH: 0.19%,  Human A29-A30: 0.19%,  Human Ig: 0.19%,  Human A46: 0.19%,  Human A5-A7: 0.19%,  Human A25: 0.10%,  Human A14: 0.10%,  Human A23: 0.10%,  Human AON: 0.10%,  Human A38: 0.10%,  Human A32: 0.10%,  Human VPL: 0.10%,  Human CA2U-CA3U: 0.10%,  Human HTHpo-HTHso: 0.10%,  Human TF: 0.10%,  Human STH: 0.10%,  Human NAC: 0.10%,  Human LP-VPL: 0.10%,  Human Cla: 0.10%,  Human CaB: 0.10%"
Cluster17,"Human MN: 13.86%,  Human IO: 9.90%,  Human HTHso: 8.91%,  Human CBV: 7.92%,  Human MoSR: 7.92%,  Human PnEN: 5.94%,  Human PN: 5.94%,  Human LG: 4.95%,  Human SpC: 4.95%,  Human SN: 4.95%,  Human MoAN: 3.96%,  Human HTHma: 2.97%,  Human CoA: 2.97%,  Human BM: 2.97%,  Human CBL: 1.98%,  Human PnRF: 1.98%,  Human PnAN: 1.98%,  Human ANC: 0.99%,  Human CMN: 0.99%,  Human HTHma-HTHtub: 0.99%,  Human TH-TL: 0.99%,  Human Pir: 0.99%,  Human SN-RN: 0.99%"
Cluster18,"Human A35r: 10.42%,  Human IO: 7.32%,  Human MoAN: 6.87%,  Human MN: 6.87%,  Human Pul: 5.76%,  Human PN: 3.33%,  Human LG: 3.33%,  Human CM-Pf: 3.33%,  Human MTG: 3.10%,  Human CA1: 3.10%,  Human SN: 2.88%,  Human PnEN: 2.66%,  Human CA4C-DGC: 2.22%,  Human Pir: 2.22%,  Human IC: 2.22%,  Human PnRF: 2.00%,  Human MoSR: 1.55%,  Human SEP: 1.55%,  Human CA3R: 1.55%,  Human GPe: 1.33%,  Human BM: 1.33%,  Human CBL: 1.33%,  Human CBV: 1.33%,  Human TH-TL: 1.33%,  Human CoA: 1.33%,  Human SpC: 1.11%,  Human CA1U-CA2U-CA3U: 1.11%,  Human DGR-CA4Rpy: 0.89%,  Human CA1C-CA3C: 0.89%,  Human FI: 0.89%,  Human CA1-2R: 0.89%,  Human A32: 0.89%,  Human A44-A45: 0.89%,  Human CMN: 0.67%,  Human V2: 0.67%,  Human LP: 0.67%,  Human HTHma: 0.67%,  Human A35-A36: 0.67%,  Human MoRF-MoEN: 0.67%,  Human MEC: 0.44%,  Human Sub: 0.44%,  Human PnAN: 0.44%,  Human TF: 0.44%,  Human CbDN: 0.44%,  Human V1C: 0.44%,  Human VLN: 0.44%,  Human DGR-CA4: 0.44%,  Human ITG: 0.44%,  Human MD: 0.44%,  Human GPi: 0.22%,  Human VPL: 0.22%,  Human HTHma-HTHtub: 0.22%,  Human BNST: 0.22%,  Human ANC: 0.22%,  Human ACC: 0.22%,  Human CA2U-CA3U: 0.22%,  Human HTHso: 0.22%,  Human PTR: 0.22%,  Human M1C: 0.22%,  Human PB: 0.22%,  Human PAG-DR: 0.22%,  Human PAG: 0.22%,  Human SI: 0.22%,  Human MD-Re: 0.22%,  Human SN-RN: 0.22%,  Human Pu: 0.22%"
Cluster19,"Human ANC: 7.42%,  Human Pul: 5.68%,  Human SN-RN: 5.68%,  Human LG: 5.24%,  Human IO: 4.37%,  Human MoAN: 4.37%,  Human SEP: 4.37%,  Human SN: 3.06%,  Human MoSR: 3.06%,  Human M1C: 3.06%,  Human MD-Re: 3.06%,  Human MN: 2.62%,  Human PnEN: 2.62%,  Human CA4C-DGC: 2.62%,  Human MD: 2.62%,  Human HTHma: 2.18%,  Human PB: 2.18%,  Human DTg: 1.75%,  Human CA3R: 1.75%,  Human GPi: 1.75%,  Human PTR: 1.31%,  Human GPe: 1.31%,  Human CM-Pf: 1.31%,  Human IC: 1.31%,  Human CEN: 1.31%,  Human SI: 0.87%,  Human CA1: 0.87%,  Human A32: 0.87%,  Human SpC: 0.87%,  Human LP: 0.87%,  Human BL: 0.87%,  Human CbDN: 0.87%,  Human CaB: 0.87%,  Human HTHso: 0.87%,  Human CMN: 0.87%,  Human CA1R-CA2R-CA3R: 0.87%,  Human CM: 0.87%,  Human PAG: 0.87%,  Human HTHpo-HTHso: 0.44%,  Human CoA: 0.44%,  Human AON: 0.44%,  Human DGR-CA4: 0.44%,  Human DGU-CA4Upy: 0.44%,  Human BNST: 0.44%,  Human CA1-2R: 0.44%,  Human A38: 0.44%,  Human ETH: 0.44%,  Human CBL: 0.44%,  Human A1C: 0.44%,  Human A19: 0.44%,  Human A14: 0.44%,  Human CBV: 0.44%,  Human A13: 0.44%,  Human LEC: 0.44%,  Human Ig: 0.44%,  Human PN: 0.44%,  Human Pir: 0.44%,  Human PnAN: 0.44%,  Human PnRF: 0.44%,  Human MEC: 0.44%,  Human LP-VPL: 0.44%,  Human NAC: 0.44%,  Human HTHso-HTHtub: 0.44%,  Human Sub: 0.44%,  Human V1C: 0.44%,  Human STH: 0.44%,  Human S1C: 0.44%"
Cluster20,"Human MN: 10.53%,  Human IO: 6.98%,  Human Pul: 4.02%,  Human LG: 3.91%,  Human SEP: 3.79%,  Human ANC: 3.55%,  Human SN-RN: 3.43%,  Human SN: 3.43%,  Human Pir: 3.08%,  Human MoAN: 2.60%,  Human CM-Pf: 2.37%,  Human PN: 2.25%,  Human GPe: 2.13%,  Human MoSR: 1.78%,  Human GPi: 1.78%,  Human DTg: 1.78%,  Human PB: 1.66%,  Human MD-Re: 1.54%,  Human CA4C-DGC: 1.54%,  Human CbDN: 1.42%,  Human MD: 1.30%,  Human PnEN: 1.30%,  Human LP: 1.18%,  Human VLN: 1.18%,  Human MoRF-MoEN: 1.07%,  Human FI: 1.07%,  Human PnRF: 1.07%,  Human Ig: 0.95%,  Human A35r: 0.95%,  Human CEN: 0.95%,  Human NAC: 0.95%,  Human STH: 0.83%,  Human CA1: 0.83%,  Human CM: 0.83%,  Human SI: 0.83%,  Human CBV: 0.83%,  Human TH-TL: 0.83%,  Human IC: 0.71%,  Human CA3R: 0.71%,  Human SpC: 0.71%,  Human PAG: 0.71%,  Human HTHma: 0.71%,  Human HTHso: 0.71%,  Human BL: 0.59%,  Human CMN: 0.59%,  Human M1C: 0.59%,  Human MTG: 0.59%,  Human PnAN: 0.47%,  Human Pu: 0.47%,  Human LP-VPL: 0.47%,  Human CoA: 0.47%,  Human ACC: 0.47%,  Human MEC: 0.47%,  Human PAG-DR: 0.47%,  Human PTR: 0.47%,  Human Idg: 0.47%,  Human S1C: 0.36%,  Human V2: 0.36%,  Human BNST: 0.36%,  Human DGR-CA4: 0.36%,  Human A19: 0.36%,  Human LEC: 0.36%,  Human ETH: 0.36%,  Human A35-A36: 0.36%,  Human Sub: 0.36%,  Human CA1C-CA3C: 0.36%,  Human CA2U-CA3U: 0.36%,  Human A46: 0.36%,  Human CA1-2R: 0.36%,  Human A44-A45: 0.36%,  Human V1C: 0.24%,  Human TF: 0.24%,  Human BM: 0.24%,  Human A1C: 0.24%,  Human A23: 0.24%,  Human CaB: 0.24%,  Human DGR-CA4Rpy: 0.24%,  Human A40: 0.24%,  Human CA1R-CA2R-CA3R: 0.24%,  Human A25: 0.12%,  Human A5-A7: 0.12%,  Human VPL: 0.12%,  Human CA1U-CA2U-CA3U: 0.12%,  Human DGU-CA4Upy: 0.12%,  Human VA: 0.12%,  Human STG: 0.12%,  Human SC: 0.12%,  Human HTHpo-HTHso: 0.12%,  Human RN: 0.12%,  Human ITG: 0.12%,  Human CBL: 0.12%,  Human Pro: 0.12%"
Cluster21,"Human LG: 8.04%,  Human Pul: 6.96%,  Human PnEN: 6.67%,  Human GPi: 5.76%,  Human SpC: 4.05%,  Human LP: 3.82%,  Human PnRF: 3.54%,  Human CBV: 2.85%,  Human SN: 2.51%,  Human DTg: 2.45%,  Human MoRF-MoEN: 2.34%,  Human GPe: 2.28%,  Human PN: 2.28%,  Human IO: 2.22%,  Human CbDN: 2.17%,  Human MoAN: 2.17%,  Human SN-RN: 2.05%,  Human CA1: 1.94%,  Human MoSR: 1.77%,  Human CM: 1.65%,  Human PnAN: 1.65%,  Human STH: 1.60%,  Human MTG: 1.43%,  Human A35r: 1.37%,  Human CM-Pf: 1.31%,  Human SEP: 1.25%,  Human CA4C-DGC: 1.25%,  Human PB: 1.25%,  Human VLN: 1.20%,  Human PAG: 1.03%,  Human Sub: 0.91%,  Human VPL: 0.91%,  Human M1C: 0.86%,  Human STG: 0.80%,  Human CA1R-CA2R-CA3R: 0.74%,  Human PAG-DR: 0.68%,  Human MG: 0.63%,  Human MN: 0.63%,  Human SC: 0.63%,  Human ETH: 0.57%,  Human CBL: 0.51%,  Human IC: 0.51%,  Human MD-Re: 0.46%,  Human ANC: 0.40%,  Human MD: 0.40%,  Human CEN: 0.34%,  Human LP-VPL: 0.34%,  Human BL: 0.34%,  Human HTHpo: 0.34%,  Human CA3R: 0.29%,  Human Ig: 0.29%,  Human A29-A30: 0.29%,  Human HTHma-HTHtub: 0.29%,  Human A44-A45: 0.29%,  Human A46: 0.29%,  Human RN: 0.29%,  Human V1C: 0.29%,  Human CMN: 0.23%,  Human DGR-CA4Rpy: 0.23%,  Human BNST: 0.23%,  Human CoA: 0.23%,  Human CA1U-CA2U-CA3U: 0.23%,  Human A25: 0.23%,  Human HTHma: 0.23%,  Human A43: 0.23%,  Human Pir: 0.23%,  Human PTR: 0.23%,  Human A40: 0.23%,  Human A32: 0.17%,  Human Pu: 0.17%,  Human V2: 0.17%,  Human Idg: 0.17%,  Human DGU-CA4Upy: 0.17%,  Human A23: 0.17%,  Human S1C: 0.17%,  Human CaB: 0.17%,  Human MEC: 0.17%,  Human FI: 0.17%,  Human A1C: 0.11%,  Human A5-A7: 0.11%,  Human A38: 0.11%,  Human A13: 0.11%,  Human CA1C-CA3C: 0.11%,  Human CA2U-CA3U: 0.11%,  Human HTHpo-HTHso: 0.11%,  Human HTHtub: 0.11%,  Human CA1-2R: 0.06%,  Human A14: 0.06%,  Human TH-TL: 0.06%,  Human TF: 0.06%,  Human SI: 0.06%,  Human Pro: 0.06%,  Human NAC: 0.06%,  Human LEC: 0.06%,  Human ACC: 0.06%,  Human AON: 0.06%,  Human Cla: 0.06%,  Human BM: 0.06%"
